,Power
0,0.11414634146341464
1,0.18682926829268293
2,0.12926829268292683
3,0.2873170731707317
4,0.42390243902439023
5,0.655609756097561
6,0.3385365853658537
7,0.3302439024390244
8,0.3224390243902439
9,0.15951219512195122
10,0.21951219512195122
11,0.1902439024390244
12,0.22975609756097562
13,0.32878048780487806
14,0.41317073170731705
15,0.24439024390243902
16,0.09024390243902439
17,0.1278048780487805
18,0.16390243902439025
19,0.26195121951219513
20,0.2926829268292683
21,0.14341463414634145
22,0.28
23,0.4321951219512195
24,0.43414634146341463
25,0.37365853658536585
26,0.2326829268292683
27,0.21073170731707316
28,0.2151219512195122
29,0.11902439024390243
30,0.15170731707317073
31,0.22439024390243903
32,0.23317073170731709
33,0.1048780487804878
34,0.06146341463414634
35,0.07317073170731707
36,0.05146341463414634
37,0.011853658536585366
38,0.010829268292682926
39,0.026202090592334495
40,0.0020905923344947735
41,0.012878048780487804
42,0.009560975609756099
43,0.0008362369337979093
44,0.005017421602787456
45,0.00013937282229965151
46,0.00013937282229965151
47,0.00013937282229965151
48,7.984901277584195e-05
49,2.032520325203239e-05
50,2.032520325203239e-05
51,2.032520325203239e-05
52,2.032520325203239e-05
53,2.032520325203239e-05
54,2.032520325203239e-05
55,2.032520325203239e-05
56,2.032520325203239e-05
57,2.032520325203239e-05
58,2.032520325203239e-05
59,2.032520325203239e-05
60,2.032520325203239e-05
61,2.032520325203239e-05
62,2.032520325203239e-05
63,2.032520325203239e-05
64,2.032520325203239e-05
65,2.032520325203239e-05
66,2.032520325203239e-05
67,2.032520325203239e-05
68,2.032520325203239e-05
69,2.032520325203239e-05
70,2.032520325203239e-05
71,2.032520325203239e-05
72,0.0004979674796747966
73,0.03073170731707317
74,0.05658536585365854
75,0.02829268292682927
76,0.06195121951219512
77,0.06926829268292684
78,0.02829268292682927
79,0.015121951219512195
80,0.026341463414634145
81,0.050731707317073174
82,0.09365853658536585
83,0.29073170731707315
84,0.47365853658536583
85,0.33170731707317075
86,0.25609756097560976
87,0.17853658536585365
88,0.17658536585365853
89,0.16146341463414635
90,0.22829268292682928
91,0.2819512195121951
92,0.14536585365853658
93,0.11414634146341464
94,0.10048780487804879
95,0.10195121951219512
96,0.07512195121951219
97,0.08390243902439025
98,0.07414634146341463
99,0.17268292682926828
100,0.22975609756097562
101,0.21609756097560975
102,0.1575609756097561
103,0.16926829268292684
104,0.17073170731707318
105,0.23804878048780487
106,0.18195121951219512
107,0.10975609756097561
108,0.04048780487804878
109,0.05707317073170732
110,0.14097560975609755
111,0.13219512195121952
112,0.11414634146341464
113,0.17804878048780487
114,0.19609756097560976
115,0.13609756097560977
116,0.1419512195121951
117,0.07463414634146341
118,0.2653658536585366
119,0.26
120,0.2995121951219512
121,0.2873170731707317
122,0.3624390243902439
123,0.2926829268292683
124,0.2526829268292683
125,0.32634146341463416
126,0.3648780487804878
127,0.344390243902439
128,0.4609756097560976
129,0.41804878048780486
130,0.3024390243902439
131,0.2804878048780488
132,0.28536585365853656
133,0.25609756097560976
134,0.3131707317073171
135,0.3873170731707317
136,0.46731707317073173
137,0.3570731707317073
138,0.2497560975609756
139,0.18
140,0.14390243902439023
141,0.0824390243902439
142,0.11170731707317073
143,0.2707317073170732
144,0.16731707317073172
145,0.17512195121951218
146,0.24780487804878049
147,0.25073170731707317
148,0.24146341463414633
149,0.3404878048780488
150,0.7526829268292683
151,0.8682926829268293
152,0.8239024390243902
153,0.9302439024390244
154,0.7429268292682927
155,0.5746341463414634
156,0.8526829268292683
157,0.9590243902439024
158,0.728780487804878
159,0.7448780487804878
160,0.8907317073170732
161,0.9590243902439024
162,0.9204878048780488
163,0.8053658536585366
164,0.7395121951219512
165,1.0
166,0.9790243902439024
167,0.9692682926829268
168,0.9604878048780487
169,0.9190243902439025
170,0.9131707317073171
171,0.9926829268292683
172,0.9380487804878048
173,0.9853658536585366
174,0.9721951219512195
175,0.8409756097560975
176,0.8853658536585366
177,0.771219512195122
178,0.7204878048780488
179,0.5990243902439024
180,0.5229268292682927
181,0.5370731707317074
182,0.4604878048780488
183,0.5809756097560975
184,0.3404878048780488
185,0.5034146341463415
186,0.5341463414634147
187,0.46439024390243905
188,0.4024390243902439
189,0.3668292682926829
190,0.504390243902439
191,0.6604878048780488
192,0.7029268292682926
193,0.748780487804878
194,0.8429268292682927
195,0.9195121951219513
196,0.9243902439024391
197,0.6614634146341464
198,0.5273170731707317
199,0.5141463414634146
200,0.62
201,0.5707317073170731
202,0.49414634146341463
203,0.38878048780487806
204,0.27463414634146344
205,0.3151219512195122
206,0.39365853658536587
207,0.3473170731707317
208,0.3258536585365854
209,0.25902439024390245
210,0.27658536585365856
211,0.2634146341463415
212,0.27951219512195125
213,0.2395121951219512
214,0.2926829268292683
215,0.26878048780487807
216,0.35024390243902437
217,0.304390243902439
218,0.24926829268292683
219,0.16341463414634147
220,0.17121951219512196
221,0.15853658536585366
222,0.11658536585365854
223,0.15609756097560976
224,0.12097560975609756
225,0.30829268292682926
226,0.38195121951219513
227,0.24341463414634146
228,0.13170731707317074
229,0.1375609756097561
230,0.09609756097560976
231,0.1926829268292683
232,0.3175609756097561
233,0.3429268292682927
234,0.29609756097560974
235,0.3473170731707317
236,0.3824390243902439
237,0.3746341463414634
238,0.6395121951219512
239,0.31658536585365854
240,0.24926829268292683
241,0.15365853658536585
242,0.255609756097561
243,0.18341463414634146
244,0.2395121951219512
245,0.17414634146341462
246,0.1351219512195122
247,0.1897560975609756
248,0.11707317073170732
249,0.1224390243902439
250,0.10878048780487805
251,0.1375609756097561
252,0.1326829268292683
253,0.10829268292682927
254,0.1873170731707317
255,0.14390243902439023
256,0.19658536585365854
257,0.17170731707317075
258,0.16878048780487806
259,0.15170731707317073
260,0.10292682926829268
261,0.10634146341463414
262,0.18439024390243902
263,0.3053658536585366
264,0.2570731707317073
265,0.3409756097560976
266,0.37609756097560976
267,0.4068292682926829
268,0.2917073170731707
269,0.5614634146341464
270,0.7551219512195122
271,0.7404878048780488
272,0.5907317073170731
273,0.6721951219512196
274,0.7395121951219512
275,0.7463414634146341
276,0.6804878048780488
277,0.8985365853658537
278,0.7731707317073171
279,0.5863414634146341
280,0.535609756097561
281,0.786829268292683
282,0.6180487804878049
283,0.6434146341463415
284,0.8073170731707318
285,0.9917073170731707
286,0.9834146341463414
287,1.0
288,0.9985365853658537
289,0.9697560975609756
290,0.9765853658536585
291,0.748780487804878
292,0.8156097560975609
293,0.8312195121951219
294,0.9746341463414634
295,0.9975609756097561
296,0.9931707317073171
297,0.9995121951219512
298,0.9926829268292683
299,0.9780487804878049
300,0.9556097560975609
301,0.8180487804878048
302,0.9912195121951219
303,0.9517073170731707
304,1.0014634146341463
305,1.0004878048780488
306,1.0
307,0.984390243902439
308,0.9946341463414634
309,0.9795121951219512
310,0.9678048780487805
311,0.9619512195121951
312,0.9941463414634146
313,0.9346341463414635
314,0.8634146341463415
315,0.6404878048780488
316,0.9365853658536586
317,0.9941463414634146
318,0.864390243902439
319,0.7346341463414634
320,0.6321951219512195
321,0.6302439024390244
322,0.6702439024390244
323,0.7297560975609756
324,0.5995121951219512
325,0.48341463414634145
326,0.3873170731707317
327,0.4526829268292683
328,0.34146341463414637
329,0.2990243902439024
330,0.20878048780487804
331,0.2926829268292683
332,0.12829268292682927
333,0.21024390243902438
334,0.3019512195121951
335,0.35853658536585364
336,0.4678048780487805
337,0.4795121951219512
338,0.45121951219512196
339,0.6624390243902439
340,0.6
341,0.7068292682926829
342,0.6224390243902439
343,0.7497560975609756
344,0.7624390243902439
345,0.72
346,0.5424390243902439
347,0.6760975609756098
348,0.7360975609756097
349,0.5697560975609756
350,0.5297560975609756
351,0.44341463414634147
352,0.5790243902439024
353,0.49560975609756097
354,0.5848780487804878
355,0.6765853658536586
356,0.6160975609756097
357,0.5185365853658537
358,0.5321951219512195
359,0.5975609756097561
360,0.45365853658536587
361,0.5536585365853659
362,0.7312195121951219
363,0.8921951219512195
364,0.8921951219512195
365,0.973170731707317
366,0.8795121951219512
367,0.7804878048780488
368,0.8570731707317073
369,0.7219512195121951
370,0.9175609756097561
371,0.4092682926829268
372,0.05268292682926829
373,0.8248780487804878
374,0.7414634146341463
375,0.728780487804878
376,0.24097560975609755
377,0.23902439024390243
378,0.4034146341463415
379,0.5492682926829269
380,0.6765853658536586
381,0.8268292682926829
382,0.37658536585365854
383,0.16195121951219513
384,0.15853658536585366
385,0.25609756097560976
386,0.2702439024390244
387,0.49073170731707316
388,0.5360975609756098
389,0.6458536585365854
390,0.6009756097560975
391,0.7404878048780488
392,0.6648780487804878
393,0.7502439024390244
394,0.7146341463414634
395,0.8185365853658536
396,0.9004878048780488
397,0.8273170731707317
398,0.8156097560975609
399,0.568780487804878
400,0.5
401,0.564390243902439
402,0.755609756097561
403,0.38097560975609757
404,0.2424390243902439
405,0.39902439024390246
406,0.2346341463414634
407,0.18048780487804877
408,0.13121951219512196
409,0.08048780487804878
410,0.014368070953436807
411,0.0010643015521064302
412,0.04993348115299335
413,0.13707317073170733
414,0.19170731707317074
415,0.3702439024390244
416,0.5439024390243903
417,0.4946341463414634
418,0.4097560975609756
419,0.4824390243902439
420,0.45121951219512196
421,0.25073170731707317
422,0.4073170731707317
423,0.4814634146341463
424,0.3878048780487805
425,0.38439024390243903
426,0.615609756097561
427,0.7214634146341463
428,0.693170731707317
429,0.8590243902439024
430,0.8536585365853658
431,0.6878048780487804
432,0.484390243902439
433,0.6048780487804878
434,0.5907317073170731
435,0.5751219512195122
436,0.3878048780487805
437,0.11317073170731708
438,0.1073170731707317
439,0.10439024390243902
440,0.08390243902439025
441,0.09902439024390244
442,0.11170731707317073
443,0.10195121951219512
444,0.10146341463414635
445,0.15170731707317073
446,0.1024390243902439
447,0.07707317073170732
448,0.09658536585365854
449,0.0575609756097561
450,0.04780487804878049
451,0.04780487804878049
452,0.05658536585365854
453,0.05609756097560976
454,0.020975609756097562
455,0.021463414634146343
456,0.012682926829268294
457,0.0021463414634146343
458,0.00029268292682926834
459,0.005853658536585366
460,0.004512195121951219
461,0.003292682926829268
462,0.025853658536585365
463,0.00878048780487805
464,0.0021463414634146343
465,0.006211382113821138
466,0.000195121951219512
467,0.000195121951219512
468,0.000195121951219512
469,0.000195121951219512
470,0.000195121951219512
471,0.000195121951219512
472,0.000195121951219512
473,0.01661788617886179
474,0.02
475,0.04780487804878049
476,0.07804878048780488
477,0.07804878048780488
478,0.14878048780487804
479,0.10048780487804879
480,0.11658536585365854
481,0.09658536585365854
482,0.06341463414634146
483,0.016097560975609757
484,0.0624390243902439
485,0.02926829268292683
486,0.0003991130820399111
487,0.0003991130820399111
488,0.0003991130820399111
489,0.01148558758314856
490,0.07560975609756097
491,0.05365853658536585
492,0.1975609756097561
493,0.12146341463414634
494,0.19853658536585367
495,0.24
496,0.3439024390243902
497,0.3463414634146341
498,0.42
499,0.4853658536585366
500,0.5487804878048781
501,0.7121951219512195
502,0.8517073170731707
503,0.8009756097560976
504,0.8965853658536586
505,0.8039024390243903
506,0.8234146341463414
507,0.39414634146341465
508,0.2951219512195122
509,0.2965853658536585
510,0.3473170731707317
511,0.41024390243902437
512,0.3121951219512195
513,0.45707317073170733
514,0.3180487804878049
515,0.1653658536585366
516,0.2736585365853659
517,0.16097560975609757
518,0.1351219512195122
519,0.14829268292682926
520,0.10634146341463414
521,0.10341463414634146
522,0.09463414634146342
523,0.05707317073170732
524,0.19414634146341464
525,0.26926829268292685
526,0.1648780487804878
527,0.1273170731707317
528,0.1546341463414634
529,0.13317073170731708
530,0.1048780487804878
531,0.12682926829268293
532,0.14292682926829267
533,0.3541463414634146
534,0.27658536585365856
535,0.23902439024390243
536,0.22829268292682928
537,0.22390243902439025
538,0.2229268292682927
539,0.11658536585365854
540,0.10878048780487805
541,0.03219512195121951
542,0.036585365853658534
543,0.04439024390243902
544,0.06341463414634146
545,0.10878048780487805
546,0.14097560975609755
547,0.15609756097560976
