Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert
Sommer;Montag - Freitag;00:00;00:15;0.06616;;†bergangszeit;Montag - Freitag;00:00;00:15;0.07032;;Winter;Montag - Freitag;00:00;00:15;0.0724
Sommer;Montag - Freitag;00:15;00:30;0.06316;;†bergangszeit;Montag - Freitag;00:15;00:30;0.06708;;Winter;Montag - Freitag;00:15;00:30;0.06936
Sommer;Montag - Freitag;00:30;00:45;0.06052;;†bergangszeit;Montag - Freitag;00:30;00:45;0.06432;;Winter;Montag - Freitag;00:30;00:45;0.06688
Sommer;Montag - Freitag;00:45;01:00;0.05836;;†bergangszeit;Montag - Freitag;00:45;01:00;0.06208;;Winter;Montag - Freitag;00:45;01:00;0.06484
Sommer;Montag - Freitag;01:00;01:15;0.05668;;†bergangszeit;Montag - Freitag;01:00;01:15;0.06032;;Winter;Montag - Freitag;01:00;01:15;0.0632
Sommer;Montag - Freitag;01:15;01:30;0.0554;;†bergangszeit;Montag - Freitag;01:15;01:30;0.05904;;Winter;Montag - Freitag;01:15;01:30;0.06192
Sommer;Montag - Freitag;01:30;01:45;0.05444;;†bergangszeit;Montag - Freitag;01:30;01:45;0.05812;;Winter;Montag - Freitag;01:30;01:45;0.06096
Sommer;Montag - Freitag;01:45;02:00;0.05372;;†bergangszeit;Montag - Freitag;01:45;02:00;0.05744;;Winter;Montag - Freitag;01:45;02:00;0.0602
Sommer;Montag - Freitag;02:00;02:15;0.05316;;†bergangszeit;Montag - Freitag;02:00;02:15;0.05688;;Winter;Montag - Freitag;02:00;02:15;0.05964
Sommer;Montag - Freitag;02:15;02:30;0.05268;;†bergangszeit;Montag - Freitag;02:15;02:30;0.05644;;Winter;Montag - Freitag;02:15;02:30;0.0592
Sommer;Montag - Freitag;02:30;02:45;0.05228;;†bergangszeit;Montag - Freitag;02:30;02:45;0.05604;;Winter;Montag - Freitag;02:30;02:45;0.05876
Sommer;Montag - Freitag;02:45;03:00;0.05188;;†bergangszeit;Montag - Freitag;02:45;03:00;0.05556;;Winter;Montag - Freitag;02:45;03:00;0.05836
Sommer;Montag - Freitag;03:00;03:15;0.05144;;†bergangszeit;Montag - Freitag;03:00;03:15;0.05504;;Winter;Montag - Freitag;03:00;03:15;0.05788
Sommer;Montag - Freitag;03:15;03:30;0.05096;;†bergangszeit;Montag - Freitag;03:15;03:30;0.05452;;Winter;Montag - Freitag;03:15;03:30;0.05736
Sommer;Montag - Freitag;03:30;03:45;0.05048;;†bergangszeit;Montag - Freitag;03:30;03:45;0.05404;;Winter;Montag - Freitag;03:30;03:45;0.05688
Sommer;Montag - Freitag;03:45;04:00;0.05;;†bergangszeit;Montag - Freitag;03:45;04:00;0.05372;;Winter;Montag - Freitag;03:45;04:00;0.05652
Sommer;Montag - Freitag;04:00;04:15;0.0496;;†bergangszeit;Montag - Freitag;04:00;04:15;0.0536;;Winter;Montag - Freitag;04:00;04:15;0.05624
Sommer;Montag - Freitag;04:15;04:30;0.04936;;†bergangszeit;Montag - Freitag;04:15;04:30;0.05368;;Winter;Montag - Freitag;04:15;04:30;0.05624
Sommer;Montag - Freitag;04:30;04:45;0.04948;;†bergangszeit;Montag - Freitag;04:30;04:45;0.05404;;Winter;Montag - Freitag;04:30;04:45;0.0566
Sommer;Montag - Freitag;04:45;05:00;0.05;;†bergangszeit;Montag - Freitag;04:45;05:00;0.05464;;Winter;Montag - Freitag;04:45;05:00;0.05744
Sommer;Montag - Freitag;05:00;05:15;0.05116;;†bergangszeit;Montag - Freitag;05:00;05:15;0.0556;;Winter;Montag - Freitag;05:00;05:15;0.05884
Sommer;Montag - Freitag;05:15;05:30;0.05292;;†bergangszeit;Montag - Freitag;05:15;05:30;0.0572;;Winter;Montag - Freitag;05:15;05:30;0.06092
Sommer;Montag - Freitag;05:30;05:45;0.05532;;†bergangszeit;Montag - Freitag;05:30;05:45;0.05984;;Winter;Montag - Freitag;05:30;05:45;0.0638
Sommer;Montag - Freitag;05:45;06:00;0.05836;;†bergangszeit;Montag - Freitag;05:45;06:00;0.06392;;Winter;Montag - Freitag;05:45;06:00;0.0676
Sommer;Montag - Freitag;06:00;06:15;0.06216;;†bergangszeit;Montag - Freitag;06:00;06:15;0.06976;;Winter;Montag - Freitag;06:00;06:15;0.07252
Sommer;Montag - Freitag;06:15;06:30;0.06744;;†bergangszeit;Montag - Freitag;06:15;06:30;0.0776;;Winter;Montag - Freitag;06:15;06:30;0.079
Sommer;Montag - Freitag;06:30;06:45;0.07484;;†bergangszeit;Montag - Freitag;06:30;06:45;0.08764;;Winter;Montag - Freitag;06:30;06:45;0.08768
Sommer;Montag - Freitag;06:45;07:00;0.0852;;†bergangszeit;Montag - Freitag;06:45;07:00;0.10004;;Winter;Montag - Freitag;06:45;07:00;0.09912
Sommer;Montag - Freitag;07:00;07:15;0.09892;;†bergangszeit;Montag - Freitag;07:00;07:15;0.1148;;Winter;Montag - Freitag;07:00;07:15;0.11364
Sommer;Montag - Freitag;07:15;07:30;0.11496;;†bergangszeit;Montag - Freitag;07:15;07:30;0.13128;;Winter;Montag - Freitag;07:15;07:30;0.13052
Sommer;Montag - Freitag;07:30;07:45;0.13184;;†bergangszeit;Montag - Freitag;07:30;07:45;0.14856;;Winter;Montag - Freitag;07:30;07:45;0.14884
Sommer;Montag - Freitag;07:45;08:00;0.1482;;†bergangszeit;Montag - Freitag;07:45;08:00;0.1658;;Winter;Montag - Freitag;07:45;08:00;0.16764
Sommer;Montag - Freitag;08:00;08:15;0.16264;;†bergangszeit;Montag - Freitag;08:00;08:15;0.18192;;Winter;Montag - Freitag;08:00;08:15;0.18584
Sommer;Montag - Freitag;08:15;08:30;0.17388;;†bergangszeit;Montag - Freitag;08:15;08:30;0.19512;;Winter;Montag - Freitag;08:15;08:30;0.20172
Sommer;Montag - Freitag;08:30;08:45;0.1806;;†bergangszeit;Montag - Freitag;08:30;08:45;0.2034;;Winter;Montag - Freitag;08:30;08:45;0.21356
Sommer;Montag - Freitag;08:45;09:00;0.18156;;†bergangszeit;Montag - Freitag;08:45;09:00;0.20472;;Winter;Montag - Freitag;08:45;09:00;0.21952
Sommer;Montag - Freitag;09:00;09:15;0.17608;;†bergangszeit;Montag - Freitag;09:00;09:15;0.19796;;Winter;Montag - Freitag;09:00;09:15;0.21844
Sommer;Montag - Freitag;09:15;09:30;0.16612;;†bergangszeit;Montag - Freitag;09:15;09:30;0.18552;;Winter;Montag - Freitag;09:15;09:30;0.2116
Sommer;Montag - Freitag;09:30;09:45;0.15412;;†bergangszeit;Montag - Freitag;09:30;09:45;0.17064;;Winter;Montag - Freitag;09:30;09:45;0.20084
Sommer;Montag - Freitag;09:45;10:00;0.14264;;†bergangszeit;Montag - Freitag;09:45;10:00;0.15656;;Winter;Montag - Freitag;09:45;10:00;0.18804
Sommer;Montag - Freitag;10:00;10:15;0.1338;;†bergangszeit;Montag - Freitag;10:00;10:15;0.14592;;Winter;Montag - Freitag;10:00;10:15;0.17504
Sommer;Montag - Freitag;10:15;10:30;0.12816;;†bergangszeit;Montag - Freitag;10:15;10:30;0.139;;Winter;Montag - Freitag;10:15;10:30;0.16336
Sommer;Montag - Freitag;10:30;10:45;0.1258;;†bergangszeit;Montag - Freitag;10:30;10:45;0.13556;;Winter;Montag - Freitag;10:30;10:45;0.15452
Sommer;Montag - Freitag;10:45;11:00;0.12692;;†bergangszeit;Montag - Freitag;10:45;11:00;0.13524;;Winter;Montag - Freitag;10:45;11:00;0.15004
Sommer;Montag - Freitag;11:00;11:15;0.13116;;†bergangszeit;Montag - Freitag;11:00;11:15;0.13752;;Winter;Montag - Freitag;11:00;11:15;0.15068
Sommer;Montag - Freitag;11:15;11:30;0.1366;;†bergangszeit;Montag - Freitag;11:15;11:30;0.14076;;Winter;Montag - Freitag;11:15;11:30;0.15412
Sommer;Montag - Freitag;11:30;11:45;0.14092;;†bergangszeit;Montag - Freitag;11:30;11:45;0.14308;;Winter;Montag - Freitag;11:30;11:45;0.1574
Sommer;Montag - Freitag;11:45;12:00;0.14172;;†bergangszeit;Montag - Freitag;11:45;12:00;0.14264;;Winter;Montag - Freitag;11:45;12:00;0.15748
Sommer;Montag - Freitag;12:00;12:15;0.1374;;†bergangszeit;Montag - Freitag;12:00;12:15;0.13816;;Winter;Montag - Freitag;12:00;12:15;0.15224
Sommer;Montag - Freitag;12:15;12:30;0.1294;;†bergangszeit;Montag - Freitag;12:15;12:30;0.13084;;Winter;Montag - Freitag;12:15;12:30;0.14316
Sommer;Montag - Freitag;12:30;12:45;0.11992;;†bergangszeit;Montag - Freitag;12:30;12:45;0.12248;;Winter;Montag - Freitag;12:30;12:45;0.13272
Sommer;Montag - Freitag;12:45;13:00;0.11116;;†bergangszeit;Montag - Freitag;12:45;13:00;0.11484;;Winter;Montag - Freitag;12:45;13:00;0.1232
Sommer;Montag - Freitag;13:00;13:15;0.10484;;†bergangszeit;Montag - Freitag;13:00;13:15;0.1094;;Winter;Montag - Freitag;13:00;13:15;0.11652
Sommer;Montag - Freitag;13:15;13:30;0.10084;;†bergangszeit;Montag - Freitag;13:15;13:30;0.10592;;Winter;Montag - Freitag;13:15;13:30;0.11248
Sommer;Montag - Freitag;13:30;13:45;0.09852;;†bergangszeit;Montag - Freitag;13:30;13:45;0.10392;;Winter;Montag - Freitag;13:30;13:45;0.11032
Sommer;Montag - Freitag;13:45;14:00;0.09724;;†bergangszeit;Montag - Freitag;13:45;14:00;0.1028;;Winter;Montag - Freitag;13:45;14:00;0.10932
Sommer;Montag - Freitag;14:00;14:15;0.09656;;†bergangszeit;Montag - Freitag;14:00;14:15;0.10216;;Winter;Montag - Freitag;14:00;14:15;0.10876
