Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert;;Jahreszeit;Tagestyp;Zeit von;Zeit bis;Wert
Sommer;Montag - Freitag;00:00;00:15;0.06736;;Übergangszeit;Montag - Freitag;00:00;00:15;0.056;;Winter;Montag - Freitag;00:00;00:15;0.05004
Sommer;Montag - Freitag;00:15;00:30;0.06116;;Übergangszeit;Montag - Freitag;00:15;00:30;0.05124;;Winter;Montag - Freitag;00:15;00:30;0.04736
Sommer;Montag - Freitag;00:30;00:45;0.0546;;Übergangszeit;Montag - Freitag;00:30;00:45;0.0466;;Winter;Montag - Freitag;00:30;00:45;0.04492
Sommer;Montag - Freitag;00:45;01:00;0.04936;;Übergangszeit;Montag - Freitag;00:45;01:00;0.04332;;Winter;Montag - Freitag;00:45;01:00;0.04332
Sommer;Montag - Freitag;01:00;01:15;0.04672;;Übergangszeit;Montag - Freitag;01:00;01:15;0.0424;;Winter;Montag - Freitag;01:00;01:15;0.04304
Sommer;Montag - Freitag;01:15;01:30;0.04596;;Übergangszeit;Montag - Freitag;01:15;01:30;0.04292;;Winter;Montag - Freitag;01:15;01:30;0.04376
Sommer;Montag - Freitag;01:30;01:45;0.04588;;Übergangszeit;Montag - Freitag;01:30;01:45;0.04368;;Winter;Montag - Freitag;01:30;01:45;0.045
Sommer;Montag - Freitag;01:45;02:00;0.04532;;Übergangszeit;Montag - Freitag;01:45;02:00;0.04332;;Winter;Montag - Freitag;01:45;02:00;0.04636
Sommer;Montag - Freitag;02:00;02:15;0.04392;;Übergangszeit;Montag - Freitag;02:00;02:15;0.04136;;Winter;Montag - Freitag;02:00;02:15;0.04752
Sommer;Montag - Freitag;02:15;02:30;0.04428;;Übergangszeit;Montag - Freitag;02:15;02:30;0.04012;;Winter;Montag - Freitag;02:15;02:30;0.04916
Sommer;Montag - Freitag;02:30;02:45;0.05;;Übergangszeit;Montag - Freitag;02:30;02:45;0.04276;;Winter;Montag - Freitag;02:30;02:45;0.05216
Sommer;Montag - Freitag;02:45;03:00;0.06448;;Übergangszeit;Montag - Freitag;02:45;03:00;0.0524;;Winter;Montag - Freitag;02:45;03:00;0.05744
Sommer;Montag - Freitag;03:00;03:15;0.08964;;Übergangszeit;Montag - Freitag;03:00;03:15;0.07096;;Winter;Montag - Freitag;03:00;03:15;0.06588
Sommer;Montag - Freitag;03:15;03:30;0.12104;;Übergangszeit;Montag - Freitag;03:15;03:30;0.09592;;Winter;Montag - Freitag;03:15;03:30;0.07852
Sommer;Montag - Freitag;03:30;03:45;0.15264;;Übergangszeit;Montag - Freitag;03:30;03:45;0.12352;;Winter;Montag - Freitag;03:30;03:45;0.09652
Sommer;Montag - Freitag;03:45;04:00;0.17832;;Übergangszeit;Montag - Freitag;03:45;04:00;0.15012;;Winter;Montag - Freitag;03:45;04:00;0.12092
Sommer;Montag - Freitag;04:00;04:15;0.19368;;Übergangszeit;Montag - Freitag;04:00;04:15;0.1726;;Winter;Montag - Freitag;04:00;04:15;0.15176
Sommer;Montag - Freitag;04:15;04:30;0.20056;;Übergangszeit;Montag - Freitag;04:15;04:30;0.19032;;Winter;Montag - Freitag;04:15;04:30;0.18476
Sommer;Montag - Freitag;04:30;04:45;0.20236;;Übergangszeit;Montag - Freitag;04:30;04:45;0.20332;;Winter;Montag - Freitag;04:30;04:45;0.21452
Sommer;Montag - Freitag;04:45;05:00;0.20252;;Übergangszeit;Montag - Freitag;04:45;05:00;0.2116;;Winter;Montag - Freitag;04:45;05:00;0.23576
Sommer;Montag - Freitag;05:00;05:15;0.20376;;Übergangszeit;Montag - Freitag;05:00;05:15;0.2154;;Winter;Montag - Freitag;05:00;05:15;0.24472
Sommer;Montag - Freitag;05:15;05:30;0.20604;;Übergangszeit;Montag - Freitag;05:15;05:30;0.2162;;Winter;Montag - Freitag;05:15;05:30;0.2442
Sommer;Montag - Freitag;05:30;05:45;0.20856;;Übergangszeit;Montag - Freitag;05:30;05:45;0.21572;;Winter;Montag - Freitag;05:30;05:45;0.23872
Sommer;Montag - Freitag;05:45;06:00;0.21056;;Übergangszeit;Montag - Freitag;05:45;06:00;0.2156;;Winter;Montag - Freitag;05:45;06:00;0.23276
Sommer;Montag - Freitag;06:00;06:15;0.21148;;Übergangszeit;Montag - Freitag;06:00;06:15;0.2172;;Winter;Montag - Freitag;06:00;06:15;0.2298
Sommer;Montag - Freitag;06:15;06:30;0.21152;;Übergangszeit;Montag - Freitag;06:15;06:30;0.22;;Winter;Montag - Freitag;06:15;06:30;0.22976
Sommer;Montag - Freitag;06:30;06:45;0.21108;;Übergangszeit;Montag - Freitag;06:30;06:45;0.22312;;Winter;Montag - Freitag;06:30;06:45;0.23144
Sommer;Montag - Freitag;06:45;07:00;0.21056;;Übergangszeit;Montag - Freitag;06:45;07:00;0.22568;;Winter;Montag - Freitag;06:45;07:00;0.23376
Sommer;Montag - Freitag;07:00;07:15;0.21028;;Übergangszeit;Montag - Freitag;07:00;07:15;0.22696;;Winter;Montag - Freitag;07:00;07:15;0.23576
Sommer;Montag - Freitag;07:15;07:30;0.21028;;Übergangszeit;Montag - Freitag;07:15;07:30;0.22692;;Winter;Montag - Freitag;07:15;07:30;0.23716
Sommer;Montag - Freitag;07:30;07:45;0.2104;;Übergangszeit;Montag - Freitag;07:30;07:45;0.22576;;Winter;Montag - Freitag;07:30;07:45;0.23784
Sommer;Montag - Freitag;07:45;08:00;0.21056;;Übergangszeit;Montag - Freitag;07:45;08:00;0.22368;;Winter;Montag - Freitag;07:45;08:00;0.2378
Sommer;Montag - Freitag;08:00;08:15;0.21076;;Übergangszeit;Montag - Freitag;08:00;08:15;0.22084;;Winter;Montag - Freitag;08:00;08:15;0.23688
Sommer;Montag - Freitag;08:15;08:30;0.21076;;Übergangszeit;Montag - Freitag;08:15;08:30;0.21772;;Winter;Montag - Freitag;08:15;08:30;0.2354
Sommer;Montag - Freitag;08:30;08:45;0.2104;;Übergangszeit;Montag - Freitag;08:30;08:45;0.2148;;Winter;Montag - Freitag;08:30;08:45;0.2336
Sommer;Montag - Freitag;08:45;09:00;0.20956;;Übergangszeit;Montag - Freitag;08:45;09:00;0.2126;;Winter;Montag - Freitag;08:45;09:00;0.23172
Sommer;Montag - Freitag;09:00;09:15;0.20804;;Übergangszeit;Montag - Freitag;09:00;09:15;0.21132;;Winter;Montag - Freitag;09:00;09:15;0.23
Sommer;Montag - Freitag;09:15;09:30;0.20576;;Übergangszeit;Montag - Freitag;09:15;09:30;0.21044;;Winter;Montag - Freitag;09:15;09:30;0.22808
Sommer;Montag - Freitag;09:30;09:45;0.2026;;Übergangszeit;Montag - Freitag;09:30;09:45;0.20912;;Winter;Montag - Freitag;09:30;09:45;0.22544
Sommer;Montag - Freitag;09:45;10:00;0.19848;;Übergangszeit;Montag - Freitag;09:45;10:00;0.20656;;Winter;Montag - Freitag;09:45;10:00;0.22164
Sommer;Montag - Freitag;10:00;10:15;0.1934;;Übergangszeit;Montag - Freitag;10:00;10:15;0.20216;;Winter;Montag - Freitag;10:00;10:15;0.21644
Sommer;Montag - Freitag;10:15;10:30;0.1878;;Übergangszeit;Montag - Freitag;10:15;10:30;0.19648;;Winter;Montag - Freitag;10:15;10:30;0.21024
Sommer;Montag - Freitag;10:30;10:45;0.18228;;Übergangszeit;Montag - Freitag;10:30;10:45;0.19032;;Winter;Montag - Freitag;10:30;10:45;0.20368
Sommer;Montag - Freitag;10:45;11:00;0.17732;;Übergangszeit;Montag - Freitag;10:45;11:00;0.1844;;Winter;Montag - Freitag;10:45;11:00;0.19748
Sommer;Montag - Freitag;11:00;11:15;0.17332;;Übergangszeit;Montag - Freitag;11:00;11:15;0.17924;;Winter;Montag - Freitag;11:00;11:15;0.192
Sommer;Montag - Freitag;11:15;11:30;0.16968;;Übergangszeit;Montag - Freitag;11:15;11:30;0.17432;;Winter;Montag - Freitag;11:15;11:30;0.18676
Sommer;Montag - Freitag;11:30;11:45;0.16556;;Übergangszeit;Montag - Freitag;11:30;11:45;0.16892;;Winter;Montag - Freitag;11:30;11:45;0.18112
Sommer;Montag - Freitag;11:45;12:00;0.1602;;Übergangszeit;Montag - Freitag;11:45;12:00;0.1622;;Winter;Montag - Freitag;11:45;12:00;0.17432
Sommer;Montag - Freitag;12:00;12:15;0.153;;Übergangszeit;Montag - Freitag;12:00;12:15;0.15372;;Winter;Montag - Freitag;12:00;12:15;0.16588
Sommer;Montag - Freitag;12:15;12:30;0.14464;;Übergangszeit;Montag - Freitag;12:15;12:30;0.14416;;Winter;Montag - Freitag;12:15;12:30;0.15624
Sommer;Montag - Freitag;12:30;12:45;0.136;;Übergangszeit;Montag - Freitag;12:30;12:45;0.13456;;Winter;Montag - Freitag;12:30;12:45;0.14608
Sommer;Montag - Freitag;12:45;13:00;0.12796;;Übergangszeit;Montag - Freitag;12:45;13:00;0.12596;;Winter;Montag - Freitag;12:45;13:00;0.136
Sommer;Montag - Freitag;13:00;13:15;0.12132;;Übergangszeit;Montag - Freitag;13:00;13:15;0.11912;;Winter;Montag - Freitag;13:00;13:15;0.12672
Sommer;Montag - Freitag;13:15;13:30;0.11656;;Übergangszeit;Montag - Freitag;13:15;13:30;0.1142;;Winter;Montag - Freitag;13:15;13:30;0.11872
Sommer;Montag - Freitag;13:30;13:45;0.11396;;Übergangszeit;Montag - Freitag;13:30;13:45;0.11112;;Winter;Montag - Freitag;13:30;13:45;0.1126
Sommer;Montag - Freitag;13:45;14:00;0.11384;;Übergangszeit;Montag - Freitag;13:45;14:00;0.10984;;Winter;Montag - Freitag;13:45;14:00;0.1088
Sommer;Montag - Freitag;14:00;14:15;0.11628;;Übergangszeit;Montag - Freitag;14:00;14:15;0.11012;;Winter;Montag - Freitag;14:00;14:15;0.10768
Sommer;Montag - Freitag;14:15;14:30;0.12008;;Übergangszeit;Montag - Freitag;14:15;14:30;0.11136;;Winter;Montag - Freitag;14:15;14:30;0.10836
Sommer;Montag - Freitag;14:30;14:45;0.1238;;Übergangszeit;Montag - Freitag;14:30;14:45;0.11284;;Winter;Montag - Freitag;14:30;14:45;0.10976
Sommer;Montag - Freitag;14:45;15:00;0.12596;;Übergangszeit;Montag - Freitag;14:45;15:00;0.11384;;Winter;Montag - Freitag;14:45;15:00;0.11084
Sommer;Montag - Freitag;15:00;15:15;0.12548;;Übergangszeit;Montag - Freitag;15:00;15:15;0.1138;;Winter;Montag - Freitag;15:00;15:15;0.11068
Sommer;Montag - Freitag;15:15;15:30;0.123;;Übergangszeit;Montag - Freitag;15:15;15:30;0.11288;;Winter;Montag - Freitag;15:15;15:30;0.10952
Sommer;Montag - Freitag;15:30;15:45;0.11948;;Übergangszeit;Montag - Freitag;15:30;15:45;0.11144;;Winter;Montag - Freitag;15:30;15:45;0.10776
Sommer;Montag - Freitag;15:45;16:00;0.11588;;Übergangszeit;Montag - Freitag;15:45;16:00;0.10984;;Winter;Montag - Freitag;15:45;16:00;0.1058
Sommer;Montag - Freitag;16:00;16:15;0.11296;;Übergangszeit;Montag - Freitag;16:00;16:15;0.10832;;Winter;Montag - Freitag;16:00;16:15;0.10408
