Koordinatensystem : Lambert konform konisch
Rechtswert        : 3885500 Meter
Hochwert          : 2480500 Meter
Hoehenlage        : 120 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3885500 2480500  1  3  2   2.1 1011 292  1.4 6  4.0  90    0    0 292 -319  0
3885500 2480500  1  3  3   2.5 1011 260  1.9 8  4.0  90    0    0 291 -319  0
3885500 2480500  1  3  4   2.4 1012 309  1.3 5  4.0  89    0    0 285 -319  0
3885500 2480500  1  3  5   2.3 1012 351  0.6 4  4.0  90    0    0 258 -319  0
3885500 2480500  1  3  6   2.1 1012 357  0.4 7  4.0  91    0    0 269 -318  0
3885500 2480500  1  3  7   2.1 1012 326  1.3 8  4.1  92    0    0 294 -317  0
3885500 2480500  1  3  8   2.2 1013 329  1.6 7  4.1  93    0    0 294 -316  0
3885500 2480500  1  3  9   2.4 1013 323  1.2 7  4.2  94    0    0 288 -316  0
3885500 2480500  1  3 10   2.8 1014 333  0.0 8  4.3  93    0   41 294 -316  0
3885500 2480500  1  3 11   3.1 1014   1  1.0 8  4.2  90    0   46 300 -320  0
3885500 2480500  1  3 12   2.9 1015 347  1.5 8  4.2  90    0   49 299 -324  0
3885500 2480500  1  3 13   3.2 1015   6  1.4 8  4.3  91    0   58 299 -327  0
3885500 2480500  1  3 14   3.6 1015  18  1.0 7  4.3  90    0   70 295 -329  0
3885500 2480500  1  3 15   3.9 1014   4  1.0 7  4.4  88    0   61 291 -329  0
3885500 2480500  1  3 16   4.0 1014 339  1.5 8  4.3  86    0   28 299 -327  0
3885500 2480500  1  3 17   4.0 1015 147  1.4 7  4.3  85    0    1 299 -324  0
3885500 2480500  1  3 18   3.7 1015 145  0.8 7  4.3  86    0    0 293 -322  0
3885500 2480500  1  3 19   3.4 1015 232  1.2 6  4.3  89    0    0 286 -320  0
3885500 2480500  1  3 20   3.5 1016  76  1.4 6  4.4  90    0    0 278 -318  0
3885500 2480500  1  3 21   2.7 1016 157  1.7 6  4.3  91    0    0 276 -317  0
3885500 2480500  1  3 22   2.3 1016 175  2.6 6  4.2  92    0    0 274 -316  0
3885500 2480500  1  3 23   1.7 1016 162  1.8 7  4.1  93    0    0 280 -316  0
3885500 2480500  1  3 24   1.5 1016 164  2.2 4  4.0  94    0    0 268 -316  0
3885500 2480500  1  4  1   1.3 1016 167  2.1 5  3.9  93    0    0 259 -316  0
3885500 2480500  1  4  2   0.8 1016 186  2.4 6  3.8  93    0    0 269 -315  0
3885500 2480500  1  4  3  -0.1 1015 132  2.2 7  3.7  94    0    0 277 -315  0
3885500 2480500  1  4  4  -0.5 1015  51  2.6 6  3.5  95    0    0 274 -315  0
3885500 2480500  1  4  5  -1.0 1015  58  2.7 6  3.5  97    0    0 267 -315  0
3885500 2480500  1  4  6  -1.5 1015  43  3.5 4  3.4  97    0    0 256 -315  0
3885500 2480500  1  4  7  -1.5 1015  42  3.8 4  3.2  96    0    0 246 -315  0
3885500 2480500  1  4  8  -1.7 1015  48  2.6 3  3.2  95    0    0 243 -315  0
