     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2480500  1  2 23   7.6  989 220  6.5 4  5.2  79    0    0 279 -350  1
3885500 2480500  1  2 24   8.9  989 206  6.7 5  5.2  75    0    0 286 -350  1
3885500 2480500  1  3  1   8.9  989 205  5.7 4  5.3  73    0    0 286 -349  1
3885500 2480500  1  3  2   9.3  989 217  6.6 4  5.5  74    0    0 283 -348  1
3885500 2480500  1  3  3   9.3  990 211  7.4 4  5.7  76    0    0 285 -347  1
3885500 2480500  1  3  4   8.5  990 214  6.0 3  5.9  81    0    0 280 -345  1
3885500 2480500  1  3  5   8.2  991 207  6.0 3  5.9  84    0    0 273 -342  1
3885500 2480500  1  3  6   7.7  991 187  6.6 3  5.7  84    0    0 273 -342  1
3885500 2480500  1  3  7   8.2  991 191  6.0 5  5.5  81    0    0 280 -342  1
3885500 2480500  1  3  8   8.6  991 195  7.4 7  5.4  76    0    0 303 -340  1
3885500 2480500  1  3  9   8.2  993 206  6.3 7  5.4  77    0    1 315 -339  1
3885500 2480500  1  3 10   8.4  993 209  7.5 7  5.4  78    0   37 313 -338  1
3885500 2480500  1  3 11   8.1  994 218  7.5 6  5.5  79   10   73 306 -339  1
3885500 2480500  1  3 12   8.3  995 221  5.4 7  5.6  80    0   72 307 -342  1
3885500 2480500  1  3 13   7.1  995 231  4.8 6  5.7  85   17  103 307 -344  1
3885500 2480500  1  3 14   8.3  996 232  4.6 7  5.7  86   15   95 305 -346  1
3885500 2480500  1  3 15   8.5  996 243  6.5 7  5.2  75    4   68 307 -346  1
3885500 2480500  1  3 16   8.4  996 241  5.7 5  4.8  69    8   40 296 -344  1
3885500 2480500  1  3 17   7.8  996 241  5.0 3  4.9  71    0   10 275 -341  1
3885500 2480500  1  3 18   5.7  997 221  4.0 2  4.8  76    0    0 256 -338  1
3885500 2480500  1  3 19   5.8  998 202  3.9 0  4.6  79    0    0 238 -335  1
3885500 2480500  1  3 20   5.4  998 179  3.9 0  4.7  82    0    0 229 -333  1
3885500 2480500  1  3 21   4.9  998 168  2.5 1  4.9  87    0    0 235 -331  1
3885500 2480500  1  3 22   4.0  997 167  3.2 2  4.7  88    0    0 246 -330  1
3885500 2480500  1  3 23   3.1  997 148  3.2 2  4.3  87    0    0 250 -331  1
3885500 2480500  1  3 24   2.9  997 166  3.3 4  4.1  86    0    0 261 -332  1
3885500 2480500  1  4  1   3.6  996 251  3.2 8  4.2  86    0    0 291 -333  1
3885500 2480500  1  4  2   3.0  995 144  1.7 8  4.2  86    0    0 312 -333  1
3885500 2480500  1  4  3   1.9  994 122  1.4 8  4.3  93    0    0 312 -333  1
3885500 2480500  1  4  4   1.7  994 163  2.5 8  4.4  99    0    0 312 -334  1
3885500 2480500  1  4  5   4.4  993 152  2.5 8  4.4  92    0    0 317 -335  1
3885500 2480500  1  4  6   2.2  992 161  1.8 8  4.4  90    0    0 318 -337  1
3885500 2480500  1  4  7   2.3  991 168  1.1 8  4.3  95    0    0 316 -339  1
3885500 2480500  1  4  8   2.9  990 178  1.2 8  4.5  96    0    0 319 -341  1
3885500 2480500  1  4  9   3.1  990 203  1.3 8  4.7  97    0    3 323 -342  1
3885500 2480500  1  4 10   4.0  990 193  2.8 8  4.8  95    0   24 325 -344  1
3885500 2480500  1  4 11   4.8  990 192  2.1 7  4.9  92    0   40 318 -347  1
3885500 2480500  1  4 12   5.8  990 178  3.0 6  5.4  96    0   91 304 -350  1
3885500 2480500  1  4 13   6.2  989 164  2.4 8  5.8  98    0   64 317 -352  1
3885500 2480500  1  4 14   6.2  988 174  1.8 7  5.8  97    0   53 325 -353  1
3885500 2480500  1  4 15   6.6  988 176  4.0 7  6.0  98    0   37 318 -354  1
3885500 2480500  1  4 16   8.3  989 194  8.5 8  6.4  97    0   30 328 -354  1
3885500 2480500  1  4 17   8.9  989 211  7.9 7  6.6  92    0    6 330 -353  1
3885500 2480500  1  4 18   9.2  990 217  7.9 7  6.4  87    0    0 323 -352  1
3885500 2480500  1  4 19   9.2  991 213  7.9 6  6.0  81    0    0 318 -351  1
3885500 2480500  1  4 20   9.5  992 223  6.8 3  5.6  74    0    0 290 -350  1
3885500 2480500  1  4 21   9.5  992 200  8.1 6  5.3  70    0    0 288 -349  1
3885500 2480500  1  4 22   9.4  993 215  8.2 5  5.3  70    0    0 299 -348  1
3885500 2480500  1  4 23   9.5  994 217  8.8 5  5.2  70    0    0 292 -348  1
3885500 2480500  1  4 24   8.9  993 219  8.5 6  5.2  70    0    0 297 -348  1
3885500 2480500  1  5  1   9.3  994 222  6.4 7  5.2  71    0    0 310 -348  1
3885500 2480500  1  5  2   9.3  994 217  6.5 7  5.3  71    0    0 319 -347  1
3885500 2480500  1  5  3   8.9  993 209  5.6 5  5.3  73    0    0 309 -347  1
3885500 2480500  1  5  4   8.9  993 187  4.9 7  5.2  72    0    0 310 -346  1
3885500 2480500  1  5  5   9.1  992 194  5.5 8  5.1  70    0    0 326 -345  1
